"sampleid" "diet" "day_post_inf" "mouse_id" "study" "diet_true" "high_fat" "high_fiber" "purified_diet" "seq_depth"
"77" "1_0410_9697" "LF/HF" -8 9697 1 "LF/HF" 0 1 1 47817
"78" "1_0415_9736" "LF/HF" -3 9697 1 "LF/HF" 0 1 1 9163
"79" "1_0418_9736" "LF/HF" 0 9697 1 "LF/HF" 0 1 1 34515
"80" "1_0421_9697" "LF/HF" 3 9697 1 "LF/HF" 0 1 1 51112
"81" "1_0403_9698" "LF/HF" -15 9698 1 "Chow" 0 1 0 36911
"82" "1_0410_9698" "LF/HF" -8 9698 1 "LF/HF" 0 1 1 55168
"83" "1_0415_9698" "LF/HF" -3 9698 1 "LF/HF" 0 1 1 6535
"84" "1_0418_9698" "LF/HF" 0 9698 1 "LF/HF" 0 1 1 29132
"85" "1_0421_9698" "LF/HF" 3 9698 1 "LF/HF" 0 1 1 30107
"86" "2_0418_9745" "LF/HF" -15 9745 2 "Chow" 0 1 0 37497
"87" "2_0425_9745" "LF/HF" -8 9745 2 "LF/HF" 0 1 1 44127
"88" "2_0430_9745" "LF/HF" -3 9745 2 "LF/HF" 0 1 1 51609
"89" "2_0503_9745" "LF/HF" 0 9745 2 "LF/HF" 0 1 1 50025
"90" "2_0418_9746" "LF/HF" -15 9746 2 "Chow" 0 1 0 42063
"91" "2_0425_9746" "LF/HF" -8 9746 2 "LF/HF" 0 1 1 52431
"92" "2_0430_9746" "LF/HF" -3 9746 2 "LF/HF" 0 1 1 49428
"93" "2_0503_9746" "LF/HF" 0 9746 2 "LF/HF" 0 1 1 62072
"94" "2_0506_9746" "LF/HF" 3 9746 2 "LF/HF" 0 1 1 56965
"95" "2_0418_9747" "LF/HF" -15 9747 2 "Chow" 0 1 0 45562
"96" "2_0425_9747" "LF/HF" -8 9747 2 "LF/HF" 0 1 1 47570
"97" "2_0430_9747" "LF/HF" -3 9747 2 "LF/HF" 0 1 1 40890
"98" "2_0503_9747" "LF/HF" 0 9747 2 "LF/HF" 0 1 1 39503
"99" "2_0418_9748" "LF/HF" -15 9748 2 "Chow" 0 1 0 37814
"100" "2_0425_9748" "LF/HF" -8 9748 2 "LF/HF" 0 1 1 39919
"101" "2_0430_9748" "LF/HF" -3 9748 2 "LF/HF" 0 1 1 167423
"102" "2_0503_9748" "LF/HF" 0 9748 2 "LF/HF" 0 1 1 38570
"103" "2_0418_9749" "LF/HF" -15 9749 2 "Chow" 0 1 0 41273
"104" "2_0425_9749" "LF/HF" -8 9749 2 "LF/HF" 0 1 1 46151
"105" "2_0430_9749" "LF/HF" -3 9749 2 "LF/HF" 0 1 1 34338
"106" "2_0503_9749" "LF/HF" 0 9749 2 "LF/HF" 0 1 1 40374
"107" "3_0516_9831" "LF/HF" -15 9831 3 "Chow" 0 1 0 45158
"108" "3_0523_9831" "LF/HF" -8 9831 3 "LF/HF" 0 1 1 29520
"109" "3_0516_9832" "LF/HF" -15 9832 3 "Chow" 0 1 0 33808
"110" "3_0523_9832" "LF/HF" -8 9832 3 "LF/HF" 0 1 1 32433
"111" "3_0516_9833" "LF/HF" -15 9833 3 "Chow" 0 1 0 36151
"112" "3_0516_9834" "LF/HF" -15 9834 3 "Chow" 0 1 0 37279
"113" "3_0516_9835" "LF/HF" -15 9835 3 "Chow" 0 1 0 37750
"114" "3_0523_9835" "LF/HF" -8 9835 3 "LF/HF" 0 1 1 31165
"115" "2_0418_9751" "HF/LF" -15 9751 2 "Chow" 0 1 0 44643
"116" "2_0418_9752" "HF/LF" -15 9752 2 "Chow" 0 1 0 43651
"117" "2_0418_9753" "HF/LF" -15 9753 2 "Chow" 0 1 0 43057
"118" "2_0418_9754" "HF/LF" -15 9754 2 "Chow" 0 1 0 40098
"119" "3_0516_9848" "HF/LF" -15 9848 3 "Chow" 0 1 0 NA
"120" "3_0516_9846" "HF/LF" -15 9846 3 "Chow" 0 1 0 34436
"121" "3_0523_9846" "HF/LF" -8 9846 3 "HF/LF" 1 0 1 40077
"122" "3_0516_9847" "HF/LF" -15 9847 3 "Chow" 0 1 0 31722
"123" "3_0523_9847" "HF/LF" -8 9847 3 "HF/LF" 1 0 1 48100
"124" "3_0523_9848" "HF/LF" -8 9848 3 "HF/LF" 1 0 1 52427
"125" "3_0516_9849" "HF/LF" -15 9849 3 "Chow" 0 1 0 28320
"126" "3_0516_9851" "HF/LF" -15 9851 3 "Chow" 0 1 0 30878
"127" "1_0403_9687" "HF/HF" -15 9687 1 "Chow" 0 1 0 52967
"128" "1_0410_9687" "HF/HF" -8 9687 1 "HF/HF" 1 1 1 35445
"129" "1_0415_9687" "HF/HF" -3 9687 1 "HF/HF" 1 1 1 23177
"130" "1_0418_9687" "HF/HF" 0 9687 1 "HF/HF" 1 1 1 50220
"131" "1_0421_9687" "HF/HF" 3 9687 1 "HF/HF" 1 1 1 63832
"132" "1_0403_9691" "HF/HF" -15 9691 1 "Chow" 0 1 0 38624
"133" "1_0410_9691" "HF/HF" -8 9691 1 "HF/HF" 1 1 1 35871
"134" "1_0415_9691" "HF/HF" -3 9691 1 "HF/HF" 1 1 1 15234
"135" "1_0418_9691" "HF/HF" 0 9691 1 "HF/HF" 1 1 1 52945
"136" "1_0421_9691" "HF/HF" 3 9691 1 "HF/HF" 1 1 1 46526
"137" "1_0403_9693" "HF/HF" -15 9693 1 "Chow" 0 1 0 32699
"138" "1_0410_9693" "HF/HF" -8 9693 1 "HF/HF" 1 1 1 47385
